class,P_box,R_box,AP50_box,AP_box,P_seg,R_seg,AP50_seg,AP_seg
Deformation,0.8841984980250148,0.8349753694581281,0.9038976439950243,0.5613488363525854,0.7809522895032172,0.7156776800888757,0.7227819196725882,0.34910833333183644
Obstacle,0.9365046462494042,0.9095077907874016,0.9556354415220355,0.7133502020251669,0.9274916572087295,0.8848920863309353,0.9204479534031454,0.6370664088288887
Rupture,0.8897723456341481,0.8521739130434782,0.9104352868849643,0.6277250482083108,0.8679879832086497,0.8004433665278896,0.8487728315819836,0.5012353820956077
Disconnect,0.9409224302352848,0.9411353464033798,0.9689913660933158,0.8240014418748466,0.797580999760562,0.7880505409296613,0.7533186497639037,0.5209489228981092
Misalignment,0.9708080786743053,0.9485458612975392,0.9863794350033211,0.7569114813671692,0.824858871455754,0.8007514671408279,0.7692520431957044,0.45517696533176955
Deposition,0.9098758475605365,0.9314993962165103,0.9535468027755916,0.6483330601453525,0.7922562241627085,0.7924016282225237,0.7780064053327104,0.4484380599446324
