epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,7192.76,1.30144,2.53965,1.68099,0.01682,1.446,0.69822,0.60952,0.67711,0.40635,0.58649,0.5084,0.50529,0.25389,1.39529,2.78067,1.3965,0.03043,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,7511.08,1.29474,2.5192,1.64601,0.01689,1.4263,0.66685,0.63121,0.67902,0.40724,0.567,0.52847,0.50679,0.25619,1.39444,2.80553,1.40035,0.03011,0,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,7829.64,1.30056,2.52213,1.64614,0.01694,1.42121,0.70974,0.63062,0.69558,0.42761,0.60512,0.54007,0.53541,0.27587,1.36601,2.75544,1.34724,0.02945,0,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,8147.17,1.30098,2.51111,1.62783,0.01698,1.4029,0.70527,0.64861,0.7059,0.43118,0.60242,0.53588,0.53455,0.2704,1.38237,2.76692,1.31208,0.03,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,8465.26,1.28134,2.48859,1.60608,0.01673,1.39885,0.71986,0.64151,0.70816,0.43393,0.58761,0.54894,0.53006,0.27333,1.36768,2.74384,1.29663,0.02946,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,8783.14,1.27855,2.46364,1.58912,0.01664,1.36742,0.72339,0.65596,0.71958,0.44376,0.60359,0.55859,0.5419,0.27705,1.35456,2.74489,1.2617,0.0291,0,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,9101.44,1.26776,2.44839,1.57789,0.01656,1.34718,0.71853,0.6651,0.72087,0.44604,0.60904,0.56148,0.55221,0.28571,1.34689,2.719,1.26258,0.02912,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,9412.16,1.2704,2.44021,1.55296,0.01656,1.34187,0.72999,0.67258,0.73117,0.45588,0.62091,0.56766,0.56407,0.29512,1.344,2.70832,1.22757,0.02882,0,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,9730.65,1.27141,2.45891,1.55877,0.01661,1.33718,0.7425,0.6756,0.74268,0.46385,0.64633,0.57511,0.58078,0.30371,1.33913,2.68955,1.22013,0.029,0,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,10049.4,1.25497,2.43055,1.54154,0.01625,1.32706,0.73585,0.67891,0.74405,0.46706,0.62971,0.58341,0.57779,0.3071,1.32058,2.65585,1.20258,0.0285,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
